Majority.protein.IDs	Intensity_100fmolR1	Intensity_100fmolR2	Intensity_100fmolR3	Intensity_10fmolR1	Intensity_10fmolR2	Intensity_10fmolR3	organism	Protein.names	Gene.names	Peptides	Razor...unique.peptides	Unique.peptides	id
P02309	26.4884	25.8314	26.4233	26.1315	26.1111	26.0322	yeast	Histone H4	HHF1	5	5	5	147
P02400	28.0454	27.9996	27.9805	27.7069	27.9197	27.7291	yeast	60S acidic ribosomal protein P2-beta	RPP2B	4	4	4	148
P02406	27.8278	27.766	27.6212	27.2245	27.4175	27.3043	yeast	60S ribosomal protein L28	RPL28	7	7	7	149
"P02407;P14127"	28.0987	28.1279	28.035	27.6358	27.8538	27.8263	yeast	"40S ribosomal protein S17-A;40S ribosomal protein S17-B"	"RPS17A;RPS17B"	7	7	7	150
P02557	24.9711	24.8257	24.824	25.0523	24.6305	24.5983	yeast	Tubulin beta chain	TUB2	5	5	5	151
P02829	27.6039	27.5353	27.5902	27.1934	27.1147	27.2117	yeast	ATP-dependent molecular chaperone HSP82	HSP82	40	8	8	152
P02992	25.8546	25.8361	25.9194	24.9466	25.1033	25.5706	yeast	Elongation factor Tu, mitochondrial	TUF1	7	7	7	153
P02994	32.0617	32.0308	32.068	31.6366	31.8111	31.8411	yeast	Elongation factor 1-alpha	TEF1	22	22	22	154
P03962	25.8364	25.9558	25.8382	25.8612	26.2628	26.2048	yeast	Orotidine 5-phosphate decarboxylase	URA3	9	9	9	155
P03965	26.4987	26.4393	26.489	25.9404	26.3448	26.3157	yeast	Carbamoyl-phosphate synthase arginine-specific large chain	CPA2	13	12	12	156
P04037	25.8108	25.6717	25.6902	24.3259	25.5551	25.5449	yeast	Cytochrome c oxidase subunit 4, mitochondrial	COX4	3	3	3	157
"P04050;P10964"	23.073	23.1843	23.156	NA	21.8512	21.6654	yeast	"DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase I subunit RPA190"	"RPO21;RPA190"	2	2	2	158
P04076	25.7598	25.7044	25.7171	25.457	25.4855	25.5755	yeast	Argininosuccinate lyase	ARG4	6	6	6	159
P04147	28.193	28.0962	28.1073	27.6778	28.0258	28.021	yeast	Polyadenylate-binding protein, cytoplasmic and nuclear	PAB1	17	17	17	160
P04456	27.6237	27.9548	27.8479	27.6084	27.7227	27.7317	yeast	60S ribosomal protein L25	RPL25	4	4	4	161
P04801	26.9046	26.5841	26.3758	25.8491	26.7295	26.7083	yeast	Threonine--tRNA ligase, cytoplasmic	THS1	14	14	14	162
P04802	28.355	28.2034	28.2341	27.6931	28.0188	28.0123	yeast	Aspartate--tRNA ligase, cytoplasmic	DPS1	17	17	17	163
P04806	28.71	28.6744	28.7147	28.402	28.6495	28.6952	yeast	Hexokinase-1	HXK1	18	16	16	164
P04807	30.0164	29.9824	29.9764	29.8585	29.9334	29.9438	yeast	Hexokinase-2	HXK2	24	24	22	165
P04840	29.456	29.3471	29.3625	28.9587	28.9596	29.2241	yeast	Mitochondrial outer membrane protein porin 1	POR1	13	13	13	166
"P04911;P04912"	27.5696	27.4955	27.4264	26.981	27.1994	27.1527	yeast	"Histone H2A.1;Histone H2A.2"	"HTA1;HTA2"	4	4	4	167
"P05030;P19657"	27.8386	27.7891	27.7766	27.2809	27.6777	27.6792	yeast	"Plasma membrane ATPase 1;Plasma membrane ATPase 2"	"PMA1;PMA2"	14	14	14	168
P05317	28.7487	28.6691	28.6526	28.5572	28.4904	28.4996	yeast	60S acidic ribosomal protein P0	RPP0	9	9	9	169
P05318	27.7414	27.6521	27.7305	27.434	27.4521	27.4499	yeast	60S acidic ribosomal protein P1-alpha	RPP1A	2	2	2	170
P05319	26.6606	27.5974	27.556	26.7603	27.068	27.0514	yeast	60S acidic ribosomal protein P2-alpha	RPP2A	3	3	3	171
P05373	21.6919	22.8963	21.8567	22.641	23.1298	21.8509	yeast	Delta-aminolevulinic acid dehydratase	HEM2	2	2	2	172
P05453	23.247	23.0938	23.2911	21.6697	22.9754	23.0007	yeast	Eukaryotic peptide chain release factor GTP-binding subunit	SUP35	2	2	2	173
P05626	23.4712	23.5024	23.1423	25.3965	23.148	23.2557	yeast	ATP synthase subunit 4, mitochondrial	ATP4	2	2	2	174
P05694	29.6719	29.5917	29.6114	29.2512	29.4984	29.4992	yeast	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	MET6	35	35	35	175
"P05738;P51401"	26.8489	26.7672	26.8721	26.7992	26.7684	26.6217	yeast	"60S ribosomal protein L9-A;60S ribosomal protein L9-B"	"RPL9A;RPL9B"	7	7	7	176
P05739	25.0671	24.9348	24.6397	24.6528	24.7724	24.765	yeast	60S ribosomal protein L6-B	RPL6B	8	2	2	177
P05740	25.2322	25.2978	25.1812	24.2061	25.2644	25.2077	yeast	60S ribosomal protein L17-A	RPL17A	3	1	1	178
P05743	23.9507	21.9665	24.0178	23.4007	23.7388	23.8454	yeast	60S ribosomal protein L26-A	RPL26A	6	2	2	179
P05744	25.7233	25.7044	25.55	25.3529	25.5124	25.4562	yeast	60S ribosomal protein L33-A	RPL33A	5	1	1	180
P05747	NA	16.1208	15.377	19.8067	19.3577	18.7784	yeast	60S ribosomal protein L29	RPL29	2	2	2	181
"P05748;P54780"	27.9681	27.9284	27.952	27.599	27.7146	27.6246	yeast	"60S ribosomal protein L15-A;60S ribosomal protein L15-B"	"RPL15A;RPL15B"	7	7	7	182
P05749	25.3116	25.0496	25.1479	25.2867	25.2035	25.2594	yeast	60S ribosomal protein L22-A	RPL22A	2	2	2	183
P05750	29.2488	29.1861	29.1765	28.6696	28.9635	28.9567	yeast	40S ribosomal protein S3	RPS3	15	15	15	184
P05755	22.9449	22.9343	23.0734	22.2532	22.3342	22.3301	yeast	40S ribosomal protein S9-B	RPS9B	13	1	1	185
P05756	27.7675	27.6812	27.7	27.4936	27.5017	27.5133	yeast	40S ribosomal protein S13	RPS13	6	6	6	186
P05759	25.8546	25.8035	25.7262	23.4671	23.6334	25.4118	yeast	"Ubiquitin-40S ribosomal protein S31;Ubiquitin;40S ribosomal protein S31"	RPS31	8	8	2	187
P06101	25.1688	25.009	25.1117	24.6312	24.8897	24.9436	yeast	Hsp90 co-chaperone Cdc37	CDC37	4	4	4	188
P06105	25.1676	25.3581	25.4489	24.5305	25.176	25.1135	yeast	Protein SCP160	SCP160	10	10	10	189
P06106	27.9215	27.9189	27.7909	27.3986	27.7503	27.6567	yeast	"Protein MET17;O-acetylhomoserine sulfhydrylase;O-acetylserine sulfhydrylase"	MET17	13	13	13	190
P06168	29.0595	28.9736	28.9971	28.6713	28.8082	28.8671	yeast	Ketol-acid reductoisomerase, mitochondrial	ILV5	14	14	14	191
P06169	32.9648	32.992	32.8103	32.6178	32.7852	32.7559	yeast	Pyruvate decarboxylase isozyme 1	PDC1	30	30	30	192
P06208	26.568	26.4472	26.6209	26.4226	26.5805	26.3226	yeast	2-isopropylmalate synthase	LEU4	13	13	13	193
"P39516;P06367"	28.1403	28.1626	28.17	27.7781	27.8583	27.7791	yeast	"40S ribosomal protein S14-B;40S ribosomal protein S14-A"	"RPS14B;RPS14A"	8	8	8	194
P06738	26.9317	27.0663	26.7354	26.3586	26.5513	26.6565	yeast	Glycogen phosphorylase	GPH1	18	18	18	195
P06780	25.0304	24.956	25.054	23.8706	24.8258	24.9264	yeast	GTP-binding protein RHO1	RHO1	4	4	4	196
P06787	26.068	25.7076	25.7853	26.2727	26.1564	25.8539	yeast	Calmodulin	CMD1	5	5	5	197
P07143	24.2365	24.2916	24.126	NA	21.7048	21.6044	yeast	Cytochrome c1, heme protein, mitochondrial	CYT1	2	2	2	198
P07149	29.8027	29.8618	29.8162	29.4223	29.6847	29.6465	yeast	"Fatty acid synthase subunit beta;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase [NADH];[Acyl-carrier-protein] acetyltransferase;[Acyl-carrier-protein] malonyltransferase;S-acyl fatty acid synthase thioesterase"	FAS1	50	50	50	199
P07244	24.4913	24.4149	24.8043	24.5206	24.456	24.2232	yeast	"Bifunctional purine biosynthetic protein ADE5,7;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase"	ADE5,7	4	4	4	200
P07245	27.7954	27.531	27.2468	26.6078	26.9932	27.1758	yeast	"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase"	ADE3	14	14	14	201
P07246	24.9781	24.8627	24.4304	24.1812	24.9706	24.7941	yeast	Alcohol dehydrogenase 3, mitochondrial	ADH3	4	3	3	202
P07251	28.5248	28.6067	28.459	28.1581	28.2898	28.4686	yeast	ATP synthase subunit alpha, mitochondrial	ATP1	18	18	18	203
P07256	26.2772	26.1756	26.5513	25.7435	26.1781	25.971	yeast	Cytochrome b-c1 complex subunit 1, mitochondrial	COR1	10	10	10	204
P07257	28.4289	28.3465	28.5661	28.0866	28.3636	28.3353	yeast	Cytochrome b-c1 complex subunit 2, mitochondrial	QCR2	18	18	18	205
P07259	30.5042	30.5057	30.4793	30.3311	30.4559	30.388	yeast	"Protein URA2;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase"	URA2	76	76	74	206
P07260	25.9019	25.7561	25.9389	25.2266	25.6688	25.5513	yeast	Eukaryotic translation initiation factor 4E	CDC33	6	6	6	207
P07262	28.7599	28.5841	28.4731	28.6463	28.7039	28.6779	yeast	NADP-specific glutamate dehydrogenase 1	GDH1	23	23	15	208
P07263	25.2495	24.9634	25.0541	23.2809	25.1003	24.7799	yeast	Histidine--tRNA ligase, mitochondrial	HTS1	6	5	5	209
P07264	24.7362	24.9126	24.7986	23.9901	24.646	24.3627	yeast	3-isopropylmalate dehydratase	LEU1	6	6	6	210
P07267	28.2814	28.2819	28.2509	28.259	28.2604	28.2001	yeast	Saccharopepsin	PEP4	10	10	10	211
P07274	26.2473	26.2384	26.2142	25.7965	26.4794	26.0513	yeast	Profilin	PFY1	4	4	4	212
P07275	23.432	23.5452	23.8819	NA	23.2218	23.1665	yeast	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	PUT2	2	2	2	213
P07278	24.1864	24.1438	24.0854	NA	24.0429	24.0397	yeast	cAMP-dependent protein kinase regulatory subunit	BCY1	3	3	3	214
"P07280;P07281"	28.2127	28.2249	28.3037	27.831	27.7938	27.7622	yeast	"40S ribosomal protein S19-A;40S ribosomal protein S19-B"	"RPS19A;RPS19B"	8	8	8	215
P07283	27.5444	27.021	27.0835	26.3168	26.7102	27.1259	yeast	Phosphomannomutase	SEC53	11	11	11	216
P07284	27.8577	27.7648	27.9855	27.4561	27.6215	27.7152	yeast	Serine--tRNA ligase, cytoplasmic	SES1	15	15	15	217
P07342	26.1673	26.0219	25.9517	25.799	25.835	25.299	yeast	Acetolactate synthase catalytic subunit, mitochondrial	ILV2	6	6	6	218
P07560	24.1831	24.2201	24.2394	23.4466	23.8966	23.7432	yeast	Ras-related protein SEC4	SEC4	4	4	3	219
P07702	24.9461	25.0147	25.0274	24.5555	24.5473	25.1263	yeast	L-aminoadipate-semialdehyde dehydrogenase	LYS2	3	3	3	220
P07806	28.0254	28.0442	27.944	27.1186	27.9607	27.7757	yeast	Valine--tRNA ligase, mitochondrial	VAS1	25	25	25	221
P08067	23.3729	23.1926	23.3198	23.0812	22.9767	23.1136	yeast	Cytochrome b-c1 complex subunit Rieske, mitochondrial	RIP1	1	1	1	222
P08417	27.2955	27.2757	27.2061	26.6827	27.1216	26.9642	yeast	Fumarate hydratase, mitochondrial	FUM1	10	10	10	223
P08524	28.3033	28.309	28.2531	28.2573	28.1789	28.1195	yeast	Farnesyl pyrophosphate synthase	ERG20	10	10	10	224
P09064	23.955	23.5656	24.1775	21.6699	23.9785	23.8407	yeast	Eukaryotic translation initiation factor 2 subunit beta	SUI3	4	4	4	225
P09201	22.73	22.1749	22.7585	NA	NA	20.9716	yeast	Fructose-1,6-bisphosphatase	FBP1	2	2	2	226
P09232	26.6241	26.6885	26.5475	26.337	26.457	26.4963	yeast	Cerevisin	PRB1	6	6	6	227
P09436	28.0065	27.8498	27.8475	27.432	27.7005	27.7201	yeast	Isoleucine--tRNA ligase, cytoplasmic	ILS1	26	26	26	228
P09457	23.1943	23.2285	23.1516	22.7394	22.7912	23.2105	yeast	ATP synthase subunit 5, mitochondrial	ATP5	2	2	2	229
P09624	25.7543	25.7636	25.7999	25.55	25.5691	25.5706	yeast	Dihydrolipoyl dehydrogenase, mitochondrial	LPD1	5	5	5	230
P09733	24.9041	24.7786	24.7798	24.5909	24.7941	24.7899	yeast	Tubulin alpha-1 chain	TUB1	5	5	5	231
P09938	27.6842	27.7545	27.6094	26.9338	27.402	27.3862	yeast	Ribonucleoside-diphosphate reductase small chain 1	RNR2	14	14	14	232
"P0C0T4;Q3E792"	25.917	25.7364	26.0165	23.877	24.807	24.8062	yeast	"40S ribosomal protein S25-B;40S ribosomal protein S25-A"	"RPS25B;RPS25A"	3	3	3	233
"P0C0W1;Q3E7Y3"	26.8064	26.7852	26.7089	27.116	27.1767	26.4046	yeast	"40S ribosomal protein S22-A;40S ribosomal protein S22-B"	"RPS22A;RPS22B"	4	4	4	234
"P0C0W9;Q3E757"	27.5617	27.5877	27.3724	26.9652	27.0318	27.0295	yeast	"60S ribosomal protein L11-A;60S ribosomal protein L11-B"	"RPL11A;RPL11B"	7	7	7	235
"P0C0X0;Q3E7X9"	26.7153	26.682	26.6373	26.5983	26.5639	26.54	yeast	"40S ribosomal protein S28-B;40S ribosomal protein S28-A"	"RPS28B;RPS28A"	3	3	3	236
"P0C2H6;P0C2H7"	27.1326	28.0267	27.9166	27.4953	27.8803	27.7872	yeast	"60S ribosomal protein L27-A;60S ribosomal protein L27-B"	"RPL27A;RPL27B"	6	6	6	237
"P0C2H8;P0C2H9"	27.362	27.3519	27.3817	26.775	27.1626	27.0952	yeast	"60S ribosomal protein L31-A;60S ribosomal protein L31-B"	"RPL31A;RPL31B"	5	5	5	238
"P0CH08;P0CH09;P0CG63"	19.7486	22.8585	22.7339	20.8887	18.7239	19.9613	yeast	"Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin;Ubiquitin"	"RPL40A;RPL40B;UBI4"	8	2	2	239
"P0CS91;P0CS90"	29.755	29.6749	29.6741	29.278	29.4671	29.4342	yeast	Heat shock protein SSC1, mitochondrial	SSC1	21	21	21	240
"P0CW40;P0CW41;Q08295"	20.4602	20.3774	20.4485	19.6938	19.88	21.1806	yeast	"Oligo-1,6-glucosidase IMA3;Oligo-1,6-glucosidase IMA4;Oligo-1,6-glucosidase IMA2"	"IMA3;IMA4;IMA2"	3	3	2	241
"P0CX08;P0CX09"	26.1613	26.0778	26.0762	25.8645	25.8958	25.8143	yeast	"Mannitol dehydrogenase DSF1;Mannitol dehydrogenase YNR073C"	DSF1	7	7	7	242
"P0CX23;P0CX24"	28.2049	28.2078	28.2103	27.9032	27.7797	27.8028	yeast	"60S ribosomal protein L20-A;60S ribosomal protein L20-B"	"RPL20A;RPL20B"	11	11	11	243
"P0CX25;P0CX26"	25.4713	25.556	25.5708	25.4874	25.3539	25.368	yeast	"60S ribosomal protein L43-A;60S ribosomal protein L43-B"	"RPL43A;RPL43B"	5	5	5	244
"P0CX29;P0CX30"	26.4395	26.7961	26.1882	25.7542	26.2695	26.188	yeast	"40S ribosomal protein S23-A;40S ribosomal protein S23-B"	"RPS23A;RPS23B"	4	4	4	245
"P0CX31;P0CX32"	26.9535	26.9198	26.9625	26.4737	26.631	26.5996	yeast	"40S ribosomal protein S24-A;40S ribosomal protein S24-B"	"RPS24A;RPS24B"	7	7	7	246
"P0CX35;P0CX36"	28.6639	28.8843	28.9202	28.2435	28.4547	28.5512	yeast	"40S ribosomal protein S4-A;40S ribosomal protein S4-B"	"RPS4A;RPS4B"	14	14	14	247
"P0CX37;P0CX38"	28.0082	28.0136	27.8852	27.612	28.1239	27.6579	yeast	"40S ribosomal protein S6-A;40S ribosomal protein S6-B"	"RPS6A;RPS6B"	8	8	8	248
"P0CX39;P0CX40"	28.3256	28.2963	28.2619	27.3267	27.525	27.4595	yeast	"40S ribosomal protein S8-A;40S ribosomal protein S8-B"	"RPS8A;RPS8B"	8	8	8	249
"P0CX41;P0CX42"	27.0124	26.9417	26.6331	26.9432	26.9292	26.8007	yeast	"60S ribosomal protein L23-A;60S ribosomal protein L23-B"	"RPL23A;RPL23B"	4	4	4	250
"P0CX43;P0CX44"	27.237	27.2317	27.176	26.9867	27.0187	27.0192	yeast	"60S ribosomal protein L1-A;60S ribosomal protein L1-B"	"RPL1A;RPL1B"	8	8	8	251
"P0CX45;P0CX46"	28.5555	28.51	28.5208	28.1128	28.4609	28.434	yeast	"60S ribosomal protein L2-A;60S ribosomal protein L2-B"	"RPL2A;RPL2B"	9	9	9	252
"P0CX47;P0CX48"	27.3131	27.2616	27.4809	27.1918	27.154	27.1331	yeast	"40S ribosomal protein S11-A;40S ribosomal protein S11-B"	"RPS11A;RPS11B"	9	9	9	253
"P0CX49;P0CX50"	28.1306	28.3209	28.4115	27.0956	28.1459	28.0881	yeast	"60S ribosomal protein L18-A;60S ribosomal protein L18-B"	"RPL18A;RPL18B"	7	7	7	254
"P0CX51;P0CX52"	27.9487	28.0963	27.9207	27.3854	27.7013	27.7148	yeast	"40S ribosomal protein S16-A;40S ribosomal protein S16-B"	"RPS16A;RPS16B"	10	10	10	255
"P0CX53;P0CX54"	28.2186	28.1887	28.18	27.9784	28.0797	27.9793	yeast	"60S ribosomal protein L12-A;60S ribosomal protein L12-B"	"RPL12A;RPL12B"	8	8	8	256
"P0CX55;P0CX56"	28.7542	28.694	28.7953	28.3686	28.4152	28.394	yeast	"40S ribosomal protein S18-A;40S ribosomal protein S18-B"	"RPS18A;RPS18B"	12	12	12	257
"P0CX80;P0CX81"	25.9782	25.8727	25.8624	22.5657	25.9765	25.9649	yeast	"Copper metallothionein 1-1;Copper metallothionein 1-2"	"CUP1-1;CUP1-2"	1	1	1	258
"P0CX82;P0CX83"	27.9228	27.7869	27.7098	26.8159	27.5983	27.6382	yeast	"60S ribosomal protein L19-A;60S ribosomal protein L19-B"	"RPL19A;RPL19B"	6	6	6	259
"P0CX84;P0CX85"	27.5649	27.3896	27.4128	27.2039	27.2253	27.2242	yeast	"60S ribosomal protein L35-A;60S ribosomal protein L35-B"	"RPL35A;RPL35B"	7	7	7	260
P10080	26.2271	26.1601	26.1324	26.2015	26.0266	26.1237	yeast	Single-stranded nucleic acid-binding protein	SBP1	3	3	3	261
P10591	28.9708	28.9022	28.8841	28.8626	28.8321	28.8016	yeast	Heat shock protein SSA1	SSA1	34	34	10	262
P10592	28.7083	28.658	28.5755	28.4962	28.533	28.5288	yeast	Heat shock protein SSA2	SSA2	34	11	9	263
P10622	25.8075	25.6905	25.7187	25.3912	25.4627	25.3896	yeast	60S acidic ribosomal protein P1-beta	RPP1B	1	1	1	264
P10659	23.4977	24.3079	24.357	23.3748	23.3798	24.2549	yeast	S-adenosylmethionine synthase 1	SAM1	6	3	3	265
"P10664;P49626"	29.7805	29.8009	29.7725	29.5571	29.5876	29.622	yeast	"60S ribosomal protein L4-A;60S ribosomal protein L4-B"	"RPL4A;RPL4B"	14	14	14	266
P10869	23.9795	24.3136	24.0043	22.828	23.866	23.7785	yeast	Aspartokinase	HOM3	5	5	5	267
P10963	28.1472	28.1859	28.1061	27.7314	28.0652	28.0747	yeast	Phosphoenolpyruvate carboxykinase [ATP]	PCK1	16	16	16	268
P11076	NA	NA	NA	21.3668	21.5771	22.0934	yeast	ADP-ribosylation factor 1	ARF1	8	8	2	269
P11353	23.8716	24.8983	23.7522	23.3913	23.4462	23.4166	yeast	Coproporphyrinogen-III oxidase	HEM13	1	1	1	270
P11412	26.4811	26.3741	26.3807	25.612	26.0512	26.0152	yeast	Glucose-6-phosphate 1-dehydrogenase	ZWF1	11	11	11	271
P11484	27.91	27.8672	27.77	27.6964	27.7192	27.7583	yeast	Heat shock protein SSB1	SSB1	31	31	2	272
P11491	24.5681	24.2598	24.5483	22.7839	24.1391	23.353	yeast	"Repressible alkaline phosphatase;Soluble alkaline phosphatase"	PHO8	5	5	5	273
P11632	24.7654	24.5888	24.6325	24.6734	24.6309	24.5231	yeast	Non-histone chromosomal protein 6A	NHP6A	1	1	1	274
P11633	23.6887	23.6784	23.5105	23.4753	23.4646	23.4526	yeast	Non-histone chromosomal protein 6B	NHP6B	1	1	1	275
P11745	24.9239	25.6256	24.9639	25.1204	24.8816	25.1743	yeast	Ran GTPase-activating protein 1	RNA1	5	5	5	276
P11986	NA	NA	NA	21.0262	20.9875	21.1702	yeast	Inositol-3-phosphate synthase	INO1	2	2	2	277
P12612	23.1892	23.0483	23.0782	NA	22.8761	22.9594	yeast	T-complex protein 1 subunit alpha	TCP1	2	2	2	278
"P12688;P18961"	22.8049	22.8601	20.9967	22.9013	22.6711	22.8237	yeast	"Serine/threonine-protein kinase YPK1;Serine/threonine-protein kinase YPK2/YKR2"	"YPK1;YPK2"	2	2	2	279
P12695	25.3445	25.0857	25.2687	24.706	25.0788	25.0002	yeast	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	LAT1	4	4	4	280
P12709	30.7363	30.6887	30.7429	30.0765	30.5043	30.4927	yeast	Glucose-6-phosphate isomerase	PGI1	20	20	20	281
P12945	NA	21.9639	NA	21.7336	21.3003	20.9991	yeast	N-terminal acetyltransferase A complex subunit NAT1	NAT1	2	2	2	283
P13188	24.9584	24.9449	24.684	23.1846	24.307	24.1805	yeast	Glutamine--tRNA ligase	GLN4	7	7	7	284
P13298	25.7537	25.7016	25.0551	25.9364	25.7448	26.2772	yeast	Orotate phosphoribosyltransferase 1	URA5	8	8	8	285
P13517	23.6458	23.3992	23.4762	22.78	23.1117	22.6079	yeast	F-actin-capping protein subunit beta	CAP2	3	3	3	286
P13663	27.8377	27.8137	27.7431	27.4696	27.583	27.5289	yeast	Aspartate-semialdehyde dehydrogenase	HOM2	12	12	12	287
P14020	25.6746	25.1164	25.4153	24.5922	24.5647	24.5367	yeast	Dolichol-phosphate mannosyltransferase	DPM1	5	5	5	288
P14065	23.0156	23.0435	23.1906	22.0506	22.9341	23.2487	yeast	Protein GCY	GCY1	4	2	2	289
P14120	26.1951	26.169	26.1631	25.6298	25.5737	25.6423	yeast	60S ribosomal protein L30	RPL30	3	3	3	290
P14126	27.7601	27.7886	27.7877	26.8794	27.508	27.2547	yeast	60S ribosomal protein L3	RPL3	14	14	14	291
P14306	24.6051	24.3951	24.5381	24.9952	24.4269	24.3454	yeast	Carboxypeptidase Y inhibitor	TFS1	3	3	3	292
P14540	31.6326	31.5508	31.6031	31.143	31.3161	31.302	yeast	Fructose-bisphosphate aldolase	FBA1	18	18	18	293
P14742	26.2321	26.3084	26.429	25.32	26.3473	26.2858	yeast	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]	GFA1	16	16	16	294
P14747	22.4393	22.53	22.3619	21.2045	22.0282	22.2385	yeast	Serine/threonine-protein phosphatase 2B catalytic subunit A2	CMP2	3	3	3	295
P14832	28.6602	28.5515	28.3484	28.2088	28.1708	28.1476	yeast	Peptidyl-prolyl cis-trans isomerase	CPR1	10	10	10	296
P14843	26.3327	26.2327	26.2962	25.4252	25.6678	25.1967	yeast	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited	ARO3	7	7	7	297
P14904	26.0872	26.15	26.5839	24.6747	26.3968	25.8292	yeast	Vacuolar aminopeptidase 1	LAP4	6	6	6	298
P14907	21.8834	21.28	21.7497	NA	21.5503	21.8609	yeast	Nucleoporin NSP1	NSP1	1	1	1	299
P15019	28.4622	28.3777	28.3046	27.9448	28.242	28.0841	yeast	Transaldolase	TAL1	16	16	16	300
P15108	28.806	28.823	28.8895	27.9965	28.479	28.4472	yeast	ATP-dependent molecular chaperone HSC82	HSC82	40	40	8	301
P15180	27.3604	27.5057	27.3326	25.2638	26.7432	26.7095	yeast	Lysine--tRNA ligase, cytoplasmic	KRS1	14	14	14	302
P15274	20.5902	20.5052	20.408	21.1286	NA	21.1958	yeast	AMP deaminase	AMD1	3	3	3	303
P15303	24.3087	24.1927	24.1043	22.7624	23.0457	23.2174	yeast	Protein transport protein SEC23	SEC23	3	3	3	304
P15454	26.7512	26.9038	26.7434	26.3042	26.6917	26.3583	yeast	Guanylate kinase	GUK1	6	6	6	305
P15496	26.1144	26.1274	26.0906	25.2688	26.1229	26.0939	yeast	Isopentenyl-diphosphate Delta-isomerase	IDI1	4	4	4	306
P15624	26.9107	26.8265	26.7935	26.2691	26.6838	26.7784	yeast	Phenylalanine--tRNA ligase beta subunit	FRS1	13	13	13	307
P15625	26.8157	26.6749	26.709	25.7249	26.4789	26.3739	yeast	Phenylalanine--tRNA ligase alpha subunit	FRS2	10	10	10	308
P15646	23.9206	23.9606	23.7657	23.1023	23.6482	23.5788	yeast	rRNA 2-O-methyltransferase fibrillarin	NOP1	4	4	4	309
P15700	22.6238	22.4216	22.6921	NA	22.0911	23.5502	yeast	Uridylate kinase	URA6	2	2	2	310
P15703	27.146	27.2137	26.9814	26.8422	27.1067	26.9157	yeast	Glucan 1,3-beta-glucosidase	BGL2	6	6	6	311
P15705	28.1035	28.2463	27.9823	27.8247	27.9196	27.9974	yeast	Heat shock protein STI1	STI1	22	22	22	312
"P15731;P15732"	26.0187	26.0257	25.9962	25.2372	25.4089	25.7797	yeast	"Ubiquitin-conjugating enzyme E2 4;Ubiquitin-conjugating enzyme E2-16 kDa"	"UBC4;UBC5"	2	2	2	313
P15873	25.9607	25.8319	25.824	25.9471	25.6795	25.6764	yeast	Proliferating cell nuclear antigen	POL30	8	8	8	314
P15891	27.3717	27.3001	27.3058	27.3147	27.3058	27.2735	yeast	Actin-binding protein	ABP1	15	15	15	315
P15992	27.699	27.6024	27.5757	27.4719	27.4974	27.4926	yeast	Heat shock protein 26	HSP26	9	9	9	316
P16120	27.917	28.0417	27.8638	27.7288	27.9261	27.8586	yeast	Threonine synthase	THR4	18	18	18	317
P16140	28.3131	28.2733	28.2595	27.9079	28.0892	28.0714	yeast	V-type proton ATPase subunit B	VMA2	19	19	19	318
P16387	22.2835	24.4848	23.9939	23.6073	24.0149	23.8005	yeast	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	PDA1	5	5	5	319
P16451	22.0018	22.1416	22.1083	21.6513	21.69	20.9947	yeast	Pyruvate dehydrogenase complex protein X component, mitochondrial	PDX1	2	2	2	320
P16474	27.3062	27.26	27.4019	27.079	27.876	27.2241	yeast	78 kDa glucose-regulated protein homolog	KAR2	17	16	16	321
P16521	30.6428	30.6438	30.5972	30.1577	30.3842	30.3718	yeast	Elongation factor 3A	YEF3	35	35	35	322
P16547	24.8463	24.8301	25.0779	23.9717	24.6428	24.6607	yeast	Mitochondrial outer membrane protein OM45	OM45	6	6	6	323
P16550	25.7121	25.3307	25.3888	25.6058	25.4993	25.4734	yeast	"Protein APA1;5,5-P-1,P-4-tetraphosphate phosphorylase;ADP-sulfurylase"	APA1	4	4	4	324
P16861	28.7905	28.7499	28.7797	28.1382	28.5141	28.6747	yeast	6-phosphofructokinase subunit alpha	PFK1	28	28	27	326
P16862	27.9489	28.0654	28.055	27.4833	27.7675	27.8059	yeast	6-phosphofructokinase subunit beta	PFK2	21	20	20	327
P17076	22.4202	22.5039	22.6758	21.654	22.6993	NA	yeast	60S ribosomal protein L8-A	RPL8A	17	2	2	328
P17255	28.9651	29.0107	28.9124	28.4549	28.5026	28.4629	yeast	"V-type proton ATPase catalytic subunit A;Endonuclease PI-SceI"	VMA1	31	31	31	329
